mwmon primitives:
SYNC_PERIOD= 500
Work_time: 3.573275     Wakeup_tics: 119582.000000    Call_tics: 63721.000000
Work_time: 3.618987     Wakeup_tics: 107269.000000    Call_tics: 65058.000000


spinpause primitives:
SYNC_PERIOD= 500
Work_time: 3.705088     Wakeup_tics: 547.000000    Call_tics: 847.000000
Work_time: 4.631735     Wakeup_tics: 442.000000    Call_tics: 882.000000
Work_time: 4.120971     Wakeup_tics: 512.000000    Call_tics: 854.000000
Work_time: 4.098307     Wakeup_tics: 568.000000    Call_tics: 882.000000
Work_time: 4.379817     Wakeup_tics: 491.000000    Call_tics: 875.000000
Work_time: 3.805602     Wakeup_tics: 820.000000    Call_tics: 875.000000
Work_time: 4.467857     Wakeup_tics: 862.000000    Call_tics: 203.000000
Work_time: 4.059727     Wakeup_tics: 1212.000000    Call_tics: 203.000000
Work_time: 4.586257     Wakeup_tics: 561.000000    Call_tics: 868.000000
Work_time: 4.081086     Wakeup_tics: 470.000000    Call_tics: 875.000000
Work_time: 4.148178     Wakeup_tics: 568.000000    Call_tics: 840.000000
Work_time: 4.250721     Wakeup_tics: 484.000000    Call_tics: 861.000000
Work_time: 4.598819     Wakeup_tics: 561.000000    Call_tics: 868.000000
Work_time: 3.968422     Wakeup_tics: 953.000000    Call_tics: 203.000000
Work_time: 3.938438     Wakeup_tics: 498.000000    Call_tics: 868.000000
Work_time: 3.910921     Wakeup_tics: 974.000000    Call_tics: 203.000000
Work_time: 4.750422     Wakeup_tics: 435.000000    Call_tics: 868.000000
Work_time: 4.346379     Wakeup_tics: 554.000000    Call_tics: 854.000000
Work_time: 4.348089     Wakeup_tics: 526.000000    Call_tics: 868.000000
Work_time: 3.551421     Wakeup_tics: 554.000000    Call_tics: 868.000000
Work_time: 4.101361     Wakeup_tics: 512.000000    Call_tics: 875.000000
Work_time: 4.284941     Wakeup_tics: 540.000000    Call_tics: 847.000000
Work_time: 3.900743     Wakeup_tics: 512.000000    Call_tics: 889.000000
Work_time: 4.639259     Wakeup_tics: 484.000000    Call_tics: 854.000000
Work_time: 4.120379     Wakeup_tics: 484.000000    Call_tics: 889.000000
Work_time: 4.477910     Wakeup_tics: 435.000000    Call_tics: 868.000000
Work_time: 4.068483     Wakeup_tics: 512.000000    Call_tics: 861.000000
Work_time: 3.917165     Wakeup_tics: 456.000000    Call_tics: 882.000000
Work_time: 4.776344     Wakeup_tics: 1198.000000    Call_tics: 210.000000
Work_time: 4.546941     Wakeup_tics: 491.000000    Call_tics: 868.000000
Work_time: 4.842600     Wakeup_tics: 463.000000    Call_tics: 952.000000
Work_time: 4.241267     Wakeup_tics: 526.000000    Call_tics: 875.000000
Work_time: 4.038590     Wakeup_tics: 547.000000    Call_tics: 861.000000
Work_time: 4.380551     Wakeup_tics: 526.000000    Call_tics: 847.000000
Work_time: 4.121178     Wakeup_tics: 463.000000    Call_tics: 875.000000
Work_time: 4.143816     Wakeup_tics: 568.000000    Call_tics: 868.000000
Work_time: 4.253502     Wakeup_tics: 575.000000    Call_tics: 875.000000
Work_time: 4.410142     Wakeup_tics: 498.000000    Call_tics: 854.000000
Work_time: 4.369914     Wakeup_tics: 491.000000    Call_tics: 854.000000
