mwmon primitives:
SYNC_PERIOD= 5
 Work time: tics: 9306989139.000000 , time=: 3.323664 seconds
 Work time: tics: 10396784370.000000 , time=: 3.712846 seconds
 Work time: tics: 10043450879.000000 , time=: 3.586665 seconds
 Work time: tics: 9807832349.000000 , time=: 3.502522 seconds
 Work time: tics: 10413062415.000000 , time=: 3.718659 seconds
 Work time: tics: 10250796850.000000 , time=: 3.660711 seconds
 Work time: tics: 9827271699.000000 , time=: 3.509464 seconds
 Work time: tics: 11555008626.000000 , time=: 4.126465 seconds
 Work time: tics: 9124058524.000000 , time=: 3.258336 seconds
 Work time: tics: 9986644801.000000 , time=: 3.566379 seconds
 Work time: tics: 8607714164.000000 , time=: 3.073942 seconds
 Work time: tics: 10596407703.000000 , time=: 3.784134 seconds
 Work time: tics: 10370588396.000000 , time=: 3.703491 seconds
 Work time: tics: 10429461840.000000 , time=: 3.724515 seconds
 Work time: tics: 10265815168.000000 , time=: 3.666075 seconds
 Work time: tics: 9231718755.000000 , time=: 3.296783 seconds
 Work time: tics: 10231532647.000000 , time=: 3.653832 seconds
 Work time: tics: 10469814698.000000 , time=: 3.738926 seconds
 Work time: tics: 8970427018.000000 , time=: 3.203472 seconds


SYNC_PERIOD= 20
 Work time: tics: 10082676121.000000 , time=: 3.600673 seconds
 Work time: tics: 9688652582.000000 , time=: 3.459961 seconds
 Work time: tics: 9220390879.000000 , time=: 3.292738 seconds
 Work time: tics: 9591059345.000000 , time=: 3.425109 seconds
 Work time: tics: 9144112712.000000 , time=: 3.265498 seconds
 Work time: tics: 9878313375.000000 , time=: 3.527692 seconds
 Work time: tics: 10372819877.000000 , time=: 3.704287 seconds
 Work time: tics: 10270884988.000000 , time=: 3.667885 seconds
 Work time: tics: 10291568938.000000 , time=: 3.675272 seconds
 Work time: tics: 9800306355.000000 , time=: 3.499834 seconds
 Work time: tics: 9847258512.000000 , time=: 3.516602 seconds
 Work time: tics: 10125652859.000000 , time=: 3.616020 seconds
 Work time: tics: 8923418987.000000 , time=: 3.186685 seconds
 Work time: tics: 9593597188.000000 , time=: 3.426016 seconds
 Work time: tics: 9531165910.000000 , time=: 3.403720 seconds
