spinhalt primitives:
SYNC_PERIOD= 5
 Work time: tics: 9166640182.000000 , time=: 3.273543 seconds
 Work time: tics: 11127590460.000000 , time=: 3.973827 seconds
 Work time: tics: 10323429431.000000 , time=: 3.686649 seconds
 Work time: tics: 10672485439.000000 , time=: 3.811302 seconds
 Work time: tics: 9940840266.000000 , time=: 3.550021 seconds
 Work time: tics: 10242619128.000000 , time=: 3.657791 seconds
 Work time: tics: 8740514468.000000 , time=: 3.121367 seconds
 Work time: tics: 9754876859.000000 , time=: 3.483611 seconds
 Work time: tics: 9913022231.000000 , time=: 3.540087 seconds
 Work time: tics: 8308011131.000000 , time=: 2.966914 seconds
 Work time: tics: 9294761609.000000 , time=: 3.319297 seconds
 Work time: tics: 9822304688.000000 , time=: 3.507690 seconds
 Work time: tics: 10574266682.000000 , time=: 3.776227 seconds
 Work time: tics: 9587776814.000000 , time=: 3.423937 seconds
 Work time: tics: 10673938940.000000 , time=: 3.811822 seconds
 Work time: tics: 9261942116.000000 , time=: 3.307577 seconds
 Work time: tics: 8835048194.000000 , time=: 3.155126 seconds
 Work time: tics: 9644767111.000000 , time=: 3.444289 seconds
 Work time: tics: 10857618429.000000 , time=: 3.877416 seconds


SYNC_PERIOD= 20
 Work time: tics: 9403280621.000000 , time=: 3.358051 seconds
 Work time: tics: 9377597243.000000 , time=: 3.348879 seconds
 Work time: tics: 10141655671.000000 , time=: 3.621735 seconds
 Work time: tics: 9761280585.000000 , time=: 3.485898 seconds
 Work time: tics: 8892937767.000000 , time=: 3.175800 seconds
 Work time: tics: 9176617226.000000 , time=: 3.277106 seconds
 Work time: tics: 9802405725.000000 , time=: 3.500584 seconds
 Work time: tics: 10492153770.000000 , time=: 3.746903 seconds
 Work time: tics: 10926286518.000000 , time=: 3.901939 seconds
 Work time: tics: 10339044170.000000 , time=: 3.692226 seconds
 Work time: tics: 10241984452.000000 , time=: 3.657564 seconds
 Work time: tics: 10342897453.000000 , time=: 3.693602 seconds
 Work time: tics: 9018872744.000000 , time=: 3.220773 seconds
 Work time: tics: 9731424815.000000 , time=: 3.475236 seconds
 Work time: tics: 9834277285.000000 , time=: 3.511966 seconds
 Work time: tics: 10509988545.000000 , time=: 3.753272 seconds
 Work time: tics: 9098446105.000000 , time=: 3.249190 seconds
 Work time: tics: 10726021929.000000 , time=: 3.830421 seconds
 Work time: tics: 10602768309.000000 , time=: 3.786405 seconds
 Work time: tics: 10295702921.000000 , time=: 3.676748 seconds
 Work time: tics: 10822742035.000000 , time=: 3.864961 seconds
 Work time: tics: 9796068079.000000 , time=: 3.498321 seconds
 Work time: tics: 10005687937.000000 , time=: 3.573179 seconds
 Work time: tics: 10356269364.000000 , time=: 3.698377 seconds
 Work time: tics: 9993199433.000000 , time=: 3.568719 seconds
 Work time: tics: 11307444029.000000 , time=: 4.038056 seconds
 Work time: tics: 10052331555.000000 , time=: 3.589836 seconds
 Work time: tics: 9630947928.000000 , time=: 3.439354 seconds
 Work time: tics: 9992325147.000000 , time=: 3.568407 seconds
 Work time: tics: 9758232120.000000 , time=: 3.484809 seconds
 Work time: tics: 9864664866.000000 , time=: 3.522818 seconds
 Work time: tics: 10624959373.000000 , time=: 3.794330 seconds
 Work time: tics: 9289636384.000000 , time=: 3.317467 seconds
 Work time: tics: 10297888545.000000 , time=: 3.677528 seconds
 Work time: tics: 11083905910.000000 , time=: 3.958227 seconds
 Work time: tics: 10044748441.000000 , time=: 3.587128 seconds
 Work time: tics: 10856198598.000000 , time=: 3.876909 seconds
 Work time: tics: 9362788757.000000 , time=: 3.343590 seconds
 Work time: tics: 8933784391.000000 , time=: 3.190387 seconds
 Work time: tics: 9123410303.000000 , time=: 3.258105 seconds


SYNC_PERIOD= 50
 Work time: tics: 9315780985.000000 , time=: 3.326803 seconds
 Work time: tics: 9901867115.000000 , time=: 3.536103 seconds
 Work time: tics: 10183269845.000000 , time=: 3.636596 seconds
 Work time: tics: 9325162112.000000 , time=: 3.330153 seconds
 Work time: tics: 9649607751.000000 , time=: 3.446018 seconds
 Work time: tics: 10812571742.000000 , time=: 3.861329 seconds
 Work time: tics: 9586960509.000000 , time=: 3.423645 seconds
 Work time: tics: 10192032928.000000 , time=: 3.639726 seconds
 Work time: tics: 10615446121.000000 , time=: 3.790933 seconds
 Work time: tics: 11432962688.000000 , time=: 4.082880 seconds
 Work time: tics: 10366148863.000000 , time=: 3.701905 seconds
 Work time: tics: 11523006789.000000 , time=: 4.115036 seconds
 Work time: tics: 9581246913.000000 , time=: 3.421605 seconds
 Work time: tics: 10173038092.000000 , time=: 3.632942 seconds
 Work time: tics: 10239599300.000000 , time=: 3.656712 seconds
 Work time: tics: 10439306465.000000 , time=: 3.728031 seconds
