pthread primitives:
SYNC_PERIOD= 5
 Work time: tics: 10490676245.000000 , time=: 3.746376 seconds
 Work time: tics: 10120836852.000000 , time=: 3.614301 seconds
 Work time: tics: 10246472733.000000 , time=: 3.659167 seconds
 Work time: tics: 9362421999.000000 , time=: 3.343459 seconds
 Work time: tics: 8704448592.000000 , time=: 3.108487 seconds
 Work time: tics: 9543964710.000000 , time=: 3.408291 seconds
 Work time: tics: 10930763844.000000 , time=: 3.903538 seconds
 Work time: tics: 9274965581.000000 , time=: 3.312227 seconds
 Work time: tics: 8714959596.000000 , time=: 3.112241 seconds
 Work time: tics: 9334281544.000000 , time=: 3.333410 seconds
 Work time: tics: 10083524696.000000 , time=: 3.600976 seconds
 Work time: tics: 8836873136.000000 , time=: 3.155778 seconds
 Work time: tics: 9827796118.000000 , time=: 3.509651 seconds
 Work time: tics: 9307097415.000000 , time=: 3.323702 seconds
 Work time: tics: 10032138186.000000 , time=: 3.582625 seconds
 Work time: tics: 10506211184.000000 , time=: 3.751923 seconds
 Work time: tics: 8407148953.000000 , time=: 3.002317 seconds
 Work time: tics: 8297621577.000000 , time=: 2.963203 seconds
 Work time: tics: 10458269409.000000 , time=: 3.734803 seconds


SYNC_PERIOD= 20
 Work time: tics: 10679898026.000000 , time=: 3.813950 seconds
 Work time: tics: 8905052849.000000 , time=: 3.180126 seconds
 Work time: tics: 9948154643.000000 , time=: 3.552633 seconds
 Work time: tics: 10035583509.000000 , time=: 3.583855 seconds
 Work time: tics: 8863232287.000000 , time=: 3.165191 seconds
 Work time: tics: 9719853178.000000 , time=: 3.471103 seconds
 Work time: tics: 9768231088.000000 , time=: 3.488380 seconds
 Work time: tics: 9682379826.000000 , time=: 3.457721 seconds
 Work time: tics: 9075112361.000000 , time=: 3.240857 seconds
 Work time: tics: 9442179383.000000 , time=: 3.371942 seconds
 Work time: tics: 10708899915.000000 , time=: 3.824307 seconds
 Work time: tics: 9215879575.000000 , time=: 3.291127 seconds
 Work time: tics: 8890887572.000000 , time=: 3.175068 seconds
 Work time: tics: 10271548567.000000 , time=: 3.668122 seconds
 Work time: tics: 8329821192.000000 , time=: 2.974702 seconds
 Work time: tics: 10536680420.000000 , time=: 3.762805 seconds
 Work time: tics: 11070719240.000000 , time=: 3.953518 seconds
 Work time: tics: 9202459259.000000 , time=: 3.286334 seconds
 Work time: tics: 10382609916.000000 , time=: 3.707784 seconds
 Work time: tics: 10581331299.000000 , time=: 3.778750 seconds
